"","Innovation","MarketPotential","GalileoRelevance","Viability","Feasiblity","Impact","Presentation","TOTAL1"
"X","Innovation","Market potential","Galileo relevance","Viability","Feasiblity","Impact","Presentation","TOTAL 1"
"startup1"," 2.0"," 2.0"," 2.5"," 2.0"," 3.0"," 2.5"," 1.5","15.5"
"startup2"," 3.0"," 2.5"," 2.5"," 2.5"," 3.5"," 3.5"," 3.0","20.5"
"startup3"," 2.0"," 3.0"," 3.0"," 2.0"," 3.5"," 3.5"," 2.5","19.5"
"startup4"," 4.0"," 3.0"," 2.5"," 2.5"," 3.5"," 2.0"," 3.0","20.5"
"startup5"," 2.5"," 3.5"," 3.5"," 3.0"," 3.5"," 3.0"," 3.0","22.0"
"startup6"," 2.5"," 2.5"," 2.5"," 2.0"," 3.0"," 2.0"," 2.5","17.0"
"startup7"," 3.0"," 2.0"," 2.5"," 1.0"," 2.5"," 1.5"," 1.5","14.0"
"startup8"," 3.0"," 2.5"," 2.0"," 1.5"," 3.0"," 2.5"," 2.0","16.5"
"startup9"," 3.0"," 2.5"," 2.5"," 2.5"," 4.0"," 2.5"," 3.5","20.5"
"startup10"," 2.5"," 2.5"," 2.5"," 2.0"," 3.0"," 2.5"," 3.5","18.5"
"startup11"," 3.5"," 2.5"," 4.0"," 1.0"," 3.5"," 2.0"," 3.0","19.5"
"startup12"," 2.0"," 3.0"," 2.5"," 3.5"," 4.0"," 4.0"," 3.5","22.5"
"startup13"," 4.5"," 3.5"," 4.0"," 3.5"," 4.0"," 3.5"," 3.5","26.5"
"startup14"," 2.0"," 3.0"," 2.5"," 2.5"," 3.0"," 2.5"," 3.0","18.5"
"startup15"," 3.5"," 2.5"," 3.5"," 1.5"," 2.5"," 2.0"," 3.0","18.5"
"startup16"," 2.5"," 3.5"," 3.5"," 3.5"," 4.0"," 3.0"," 4.5","24.5"
"startup17"," 4.5"," 1.5"," 3.0"," 1.5"," 2.5"," 1.0"," 4.0","18.0"
"startup18"," 3.0"," 3.5"," 2.0"," 3.5"," 4.0"," 2.5"," 3.0","21.5"
"startup19"," 2.5"," 3.0"," 3.5"," 2.0"," 3.5"," 2.0"," 2.0","18.5"
"startup20"," 4.5"," 2.5"," 4.0"," 2.0"," 3.0"," 3.5"," 2.5","22.0"
"startup21"," 4.0"," 2.5"," 2.0"," 2.0"," 2.5"," 3.0"," 3.0","19.0"
"startup22"," 3.0"," 2.0"," 2.5"," 2.0"," 2.0"," 2.5"," 2.5","16.5"
"startup23"," 3.5"," 3.0"," 3.0"," 3.0"," 3.0"," 2.5"," 4.0","22.0"
"startup24"," 2.5"," 2.0"," 3.0"," 2.5"," 2.5"," 2.0"," 3.0","17.5"
"startup25"," 3.0"," 2.5"," 3.0"," 2.0"," 3.0"," 2.5"," 2.0","18.0"
"startup26"," 2.0"," 2.5"," 3.0"," 2.0"," 3.0"," 3.0"," 2.0","17.5"
"startup27"," 3.0"," 3.0"," 3.0"," 2.5"," 2.0"," 3.0"," 3.0","19.5"
"startup28"," 2.0"," 2.5"," 2.5"," 2.5"," 2.0"," 2.0"," 2.5","16.0"
"startup29"," 3.5"," 3.0"," 3.0"," 2.0"," 3.0"," 3.0"," 4.0","21.5"
"startup30"," 2.0"," 2.0"," 2.5"," 2.0"," 2.0"," 3.0"," 2.5","16.0"
"startup31"," 3.0"," 2.0"," 3.5"," 2.0"," 2.5"," 3.0"," 3.0","19.0"
"startup32"," 3.0"," 3.0"," 3.0"," 2.5"," 3.5"," 2.5"," 3.0","20.5"
"startup33"," 4.0"," 2.5"," 3.5"," 3.0"," 3.5"," 2.5"," 3.5","22.5"
"startup34"," 3.5"," 2.0"," 2.5"," 1.0"," 3.0"," 2.0"," 2.5","16.5"
"startup35"," 3.5"," 2.0"," 2.0"," 2.0"," 2.5"," 3.5"," 3.0","18.5"
"startup36"," 3.0"," 3.0"," 3.5"," 2.5"," 3.5"," 3.5"," 3.5","22.5"
"startup37"," 2.0"," 2.0"," 2.5"," 2.0"," 2.0"," 2.5"," 2.5","15.5"
"startup38"," 4.0"," 4.0"," 3.5"," 2.0"," 3.0"," 5.0"," 3.5","25.0"
"startup39"," 3.5"," 3.5"," 4.0"," 3.0"," 4.0"," 3.0"," 4.0","25.0"
"startup40"," 4.0"," 3.0"," 4.0"," 1.5"," 2.5"," 3.0"," 3.0","21.0"
"startup41"," 3.5"," 3.0"," 4.0"," 4.0"," 3.5"," 3.5"," 4.5","26.0"
"startup42"," 2.5"," 2.0"," 1.5"," 2.5"," 2.0"," 2.0"," 3.5","16.0"
"startup43"," 3.5"," 3.5"," 3.5"," 2.0"," 4.0"," 2.5"," 2.0","21.0"
"startup44"," 3.0"," 2.0"," 3.5"," 2.0"," 2.5"," 3.0"," 3.0","19.0"
"startup45"," 3.0"," 3.0"," 3.0"," 2.5"," 3.5"," 2.5"," 3.0","20.5"
"startup46"," 4.0"," 2.5"," 3.5"," 3.0"," 3.5"," 2.5"," 3.5","22.5"
"startup47"," 3.5"," 2.0"," 2.5"," 1.0"," 4.0"," 2.0"," 2.5","17.5"
"startup48"," 3.5"," 2.0"," 2.0"," 2.0"," 2.5"," 3.5"," 3.0","18.5"
"startup49"," 3.0"," 3.0"," 3.5"," 2.5"," 3.5"," 3.5"," 3.5","22.5"
"startup50"," 2.0"," 2.0"," 2.5"," 2.0"," 2.0"," 2.5"," 2.5","15.5"
